pgpid,Nahray b. Nissim,Halfon b. Menashshe,Moses Maimonides,Efrayim b. Shemarya,Shelomo b. Yehuda,Shelomo b. Eliyahhu,Hillel b. Eli,Moshe b. Levi,Mevorakh b. Natan,Daniel b. Azarya
489,False,False,False,False,False,False,False,False,False,False
505,False,False,False,False,False,False,False,False,False,False
534,False,False,False,False,False,False,False,False,False,False
544,False,False,False,False,False,False,False,False,False,False
560,False,False,False,False,False,False,False,False,False,False
565,False,False,False,False,False,False,False,False,False,False
576,False,False,False,False,False,False,False,False,False,False
582,False,False,False,False,False,False,False,False,False,False
588,False,False,False,False,False,False,False,False,False,False
589,False,False,False,False,False,False,False,False,False,False
600,False,False,False,False,False,False,False,False,False,False
604,False,False,False,False,False,False,False,False,False,False
617,False,False,False,False,False,False,False,False,False,False
635,False,False,False,False,False,False,False,False,False,False
638,False,False,False,True,False,False,False,False,False,False
639,False,False,False,False,False,False,False,False,False,False
666,False,False,False,False,False,False,False,False,False,False
674,False,False,False,False,False,False,False,False,False,False
730,False,False,False,False,False,False,False,False,False,False
745,False,False,False,False,False,False,False,False,False,True
750,False,False,False,False,False,False,False,False,False,False
757,False,False,False,False,False,False,True,False,False,False
759,False,False,False,False,False,False,False,False,False,False
761,False,False,False,False,False,False,False,False,False,False
772,False,False,False,False,False,False,False,False,False,False
774,False,False,False,False,False,False,False,False,False,False
780,False,False,False,False,False,False,False,False,False,False
807,False,False,False,False,False,False,False,False,False,False
826,False,False,False,False,False,False,False,False,False,False
837,False,False,False,False,False,False,False,False,False,False
840,False,False,False,False,True,False,False,False,False,False
847,True,False,False,False,False,False,False,False,False,False
853,False,False,False,False,False,False,False,False,False,False
859,False,False,False,False,False,False,False,False,False,False
860,False,False,False,False,False,False,False,False,False,False
866,False,False,False,False,False,False,False,False,False,False
903,False,False,False,False,False,False,False,False,False,False
906,False,False,False,False,False,False,False,False,False,False
909,False,False,False,False,False,False,False,False,False,False
911,False,False,False,False,False,False,False,False,False,False
917,False,False,False,False,False,False,False,False,False,False
918,False,False,False,False,False,False,False,False,False,False
919,False,False,False,False,False,False,False,False,False,False
926,False,False,False,False,False,False,False,False,False,False
929,False,False,False,False,False,False,False,False,False,False
930,False,False,False,False,False,False,False,False,False,False
997,False,False,False,False,False,False,True,False,False,False
998,False,False,False,False,False,False,False,False,False,False
1002,False,False,False,False,False,False,False,False,False,False
1004,False,False,False,False,False,False,False,False,False,False
1007,False,False,False,False,False,False,False,False,False,False
1010,False,False,False,False,False,False,False,False,False,False
1013,False,False,False,False,False,False,False,False,False,False
1014,False,False,False,False,False,False,False,False,False,False
1015,False,False,False,False,False,False,False,False,False,False
1029,False,False,False,False,False,False,False,False,False,False
1039,False,False,False,False,False,False,False,False,False,False
1041,False,False,False,False,False,False,False,False,False,False
1097,False,False,False,False,False,False,False,False,True,False
1099,False,False,False,False,False,False,False,False,False,False
1100,False,False,False,False,False,False,False,False,False,False
1101,False,False,False,False,False,False,False,False,False,False
1103,False,False,False,False,False,False,False,False,False,False
1106,False,False,False,False,False,False,False,False,False,False
1107,False,False,False,False,False,False,False,False,False,False
1108,False,False,False,False,False,False,False,False,False,False
1109,False,False,False,False,False,False,False,False,False,False
1112,False,False,False,False,False,False,False,False,False,False
1113,False,False,False,False,False,False,False,False,False,False
1114,False,False,False,False,False,False,False,False,False,False
1115,False,False,False,False,False,False,False,False,False,False
1117,False,False,False,False,False,False,False,False,False,False
1118,False,False,False,False,False,False,False,False,False,False
1119,False,False,False,False,False,False,False,False,False,False
1139,False,False,False,False,False,False,False,False,False,False
1140,False,False,False,False,False,False,False,False,False,False
1141,False,False,False,False,False,False,False,False,False,False
1145,False,False,False,False,False,False,False,False,False,False
1146,False,False,False,False,False,False,False,False,False,False
1149,False,False,False,False,False,False,False,False,False,False
1151,False,False,False,False,False,False,False,False,False,False
1153,False,False,False,False,False,False,False,False,False,False
1154,False,False,False,False,False,False,False,False,False,False
1155,False,False,False,False,False,False,False,False,False,False
1157,False,False,False,False,False,False,False,False,False,False
1159,False,False,False,False,False,False,False,False,False,False
1161,False,False,False,False,False,False,False,False,False,False
1162,False,False,False,False,False,False,False,False,False,False
1164,False,False,False,False,False,False,False,False,False,False
1173,False,False,False,False,False,False,False,False,False,False
1174,False,False,False,False,False,False,False,False,False,False
1175,False,False,False,False,False,False,False,False,False,False
1176,False,False,False,False,False,False,False,False,False,False
1180,False,False,False,True,False,False,False,False,False,False
1181,False,False,False,False,False,False,False,False,False,False
1187,False,False,False,False,False,False,False,False,False,False
1190,False,False,False,False,False,False,False,False,False,False
1194,False,False,False,False,False,False,False,False,False,False
1196,False,False,False,False,False,False,False,False,False,False
1204,False,False,False,False,False,False,False,False,False,False
1205,False,False,False,False,False,False,False,False,False,False
1206,False,False,False,False,False,False,False,False,False,False
1208,False,False,False,False,False,False,False,False,False,False
1209,False,False,False,False,False,False,False,False,False,False
1213,False,False,False,False,False,False,False,False,False,False
1214,False,False,False,False,False,False,False,False,False,False
1215,False,False,False,False,False,False,False,False,False,False
1222,False,False,False,False,False,False,False,False,False,False
1223,False,False,False,False,False,False,False,False,False,False
1225,False,False,False,False,False,False,False,False,False,False
1237,False,False,False,True,False,False,False,False,False,False
1239,False,False,False,False,False,False,False,False,False,False
1253,True,False,False,False,False,False,False,False,False,False
1263,False,False,False,False,False,False,False,False,False,True
1264,False,False,False,False,False,False,False,False,False,False
1265,False,False,False,False,False,False,False,False,False,False
1289,False,False,False,False,False,False,False,False,False,False
1305,False,False,False,False,False,False,False,False,False,False
1367,False,False,False,False,False,False,False,False,False,True
1402,False,False,False,False,False,False,False,False,False,False
1413,False,False,False,False,False,False,False,False,False,False
1422,False,False,False,False,False,False,True,False,False,False
1441,False,False,False,False,False,False,False,False,False,False
1442,False,False,False,False,False,False,False,False,False,False
1453,False,False,False,False,False,False,False,False,False,False
1532,False,False,False,False,False,False,False,False,False,False
1543,False,False,False,False,False,False,False,False,False,False
1555,False,False,False,False,False,False,False,False,False,False
1556,False,False,False,False,False,False,False,False,False,False
1561,False,False,False,False,False,False,False,False,False,False
1614,False,False,False,False,False,False,False,False,False,False
1626,False,False,False,False,False,False,False,False,False,False
1669,False,False,False,False,False,False,False,False,False,False
1673,False,False,False,False,False,False,False,False,False,False
1675,False,False,False,False,False,False,False,False,False,False
1676,False,False,False,False,False,False,False,False,False,False
1678,False,False,False,False,False,False,False,False,False,False
1681,False,False,False,False,False,False,False,False,False,False
1684,False,False,False,False,False,False,False,False,False,False
1699,False,False,False,False,False,False,False,False,False,False
1704,False,False,False,False,False,False,False,False,False,False
1705,False,False,False,False,False,False,False,False,False,False
1710,False,False,False,False,False,False,False,False,False,False
1711,False,False,False,False,False,False,False,False,False,False
1717,False,False,False,False,False,False,False,False,False,False
1719,False,False,False,False,False,False,False,False,False,False
1750,False,False,False,False,False,False,False,False,False,False
1751,False,False,False,False,False,False,False,False,False,False
1754,False,False,False,False,False,False,False,False,False,False
1783,False,False,False,False,False,False,False,False,False,False
1784,False,False,False,False,False,False,False,False,False,False
1785,False,False,False,False,False,False,False,False,False,False
1793,False,False,False,False,False,False,False,False,False,False
1798,False,False,False,False,False,False,False,False,False,False
1800,True,False,False,False,False,False,False,False,False,False
1801,False,False,False,False,False,False,False,False,False,False
1813,False,False,False,False,False,False,False,False,False,False
1826,False,False,False,False,False,False,False,False,False,False
1846,False,False,False,False,False,False,False,False,False,False
1848,False,False,False,False,False,False,False,False,False,False
1852,False,False,False,False,False,False,False,False,False,False
1855,False,False,False,False,False,False,False,False,False,False
1867,False,False,False,False,False,False,False,False,False,False
1868,True,False,False,False,False,False,False,False,False,False
1869,False,False,False,False,False,False,False,False,False,False
1873,False,False,False,False,False,False,False,False,False,False
1876,False,False,False,False,False,False,False,False,False,False
1878,False,False,False,False,False,False,False,False,False,False
1879,False,False,False,False,False,False,False,False,False,False
1880,False,False,False,False,False,False,False,False,False,False
1881,False,False,False,False,False,False,False,False,False,False
1912,False,False,False,False,False,False,False,False,False,False
2029,False,False,False,False,False,False,False,False,False,False
2045,False,False,False,False,False,False,False,False,False,False
2092,False,False,False,False,False,False,False,False,False,False
2093,False,False,False,False,False,False,False,False,False,False
2094,False,False,False,False,False,False,False,False,False,False
2095,False,False,False,False,False,False,False,False,False,False
2096,False,False,False,False,False,False,False,False,False,False
2097,False,False,False,False,False,False,False,False,False,False
2098,False,False,False,False,False,False,False,False,False,False
2099,False,False,False,False,False,False,False,False,False,False
2101,False,False,False,False,False,False,False,False,False,False
2102,False,False,False,False,False,False,False,False,False,False
2103,False,False,False,False,False,False,False,False,False,False
2105,False,False,False,False,False,False,False,False,False,False
2106,False,False,False,False,False,False,False,False,False,False
2107,False,False,False,False,False,False,False,False,False,False
2108,False,False,False,False,False,False,False,False,False,False
2110,False,False,False,False,False,False,False,False,False,False
2112,False,False,False,False,False,False,False,False,True,False
2113,False,False,False,False,False,False,False,False,False,False
2114,False,False,False,False,False,False,False,False,False,False
2115,False,False,False,False,False,False,False,False,False,False
2116,False,False,False,False,False,False,False,False,False,False
2117,False,False,False,False,False,False,False,False,False,False
2121,False,False,False,False,False,False,False,False,False,False
2122,False,False,False,False,False,False,False,False,False,False
2123,False,False,False,False,False,False,False,False,False,False
2124,False,False,False,False,False,False,False,False,False,False
2126,False,False,False,False,False,False,False,False,False,False
2127,False,False,False,False,False,False,True,False,False,False
2128,False,False,False,False,False,False,False,False,False,False
2130,False,False,False,False,False,False,False,False,False,False
2133,False,False,False,False,False,False,False,False,False,False
2134,False,False,False,False,False,False,False,False,False,False
2136,False,False,False,False,False,False,False,False,False,False
2139,False,False,False,False,False,False,False,False,True,False
2142,False,False,False,False,False,False,False,False,False,False
2147,False,False,False,False,False,False,False,False,False,False
2148,False,False,False,False,False,False,False,False,False,False
2150,False,False,False,False,False,False,False,False,True,False
2151,False,False,False,False,False,False,False,False,False,False
2152,False,False,False,False,False,False,False,False,False,False
2154,False,False,False,False,False,False,False,False,False,False
2155,False,False,False,False,False,False,False,False,False,False
2156,False,False,False,False,False,False,False,False,False,False
2158,False,False,False,False,False,False,False,False,False,False
2160,False,False,False,False,False,False,False,False,False,False
2161,False,False,False,False,False,False,False,False,False,False
2163,False,False,False,False,False,False,False,False,False,False
2164,False,False,False,False,False,False,False,False,False,False
2165,False,False,False,False,False,False,False,False,False,False
2167,False,False,False,False,False,False,False,False,False,False
